id,skill_name,date_created,date_updated
12054,IV THERAPY MEDICATION ADMINISTRATION PATIENT CARE SKILLED CHARTING YEARS,2018-03-30 13:23:53.079564+00,2018-03-30 13:23:53.079609+00
12055,ICIMS,2018-03-30 13:29:53.652246+00,2018-03-30 13:29:53.652288+00
12056,RECRUITINGAPPLICANT TRACKING YEARS,2018-03-30 13:29:53.807991+00,2018-03-30 13:29:53.808037+00
12057,HRISPAYROLL RECRUITING SOFTWARE YEARS,2018-03-30 13:29:53.987916+00,2018-03-30 13:29:53.987957+00
12058,CAMPUS NEXUS CAMPUSVUE,2018-03-30 13:29:54.145367+00,2018-03-30 13:29:54.145464+00
12059,STUDENT MANAGEMENT SOFTWARE YEARS,2018-03-30 13:29:54.301969+00,2018-03-30 13:29:54.302017+00
12060,MICROSOFT OFFICE YEARS,2018-03-30 13:29:54.438584+00,2018-03-30 13:29:54.438638+00
12061,QUICKBOOKS PRO YEARS,2018-03-30 13:29:54.585899+00,2018-03-30 13:29:54.585947+00
12062,GREAT,2018-03-30 13:29:54.723472+00,2018-03-30 13:29:54.723519+00
12063,PLAINS YEARS,2018-03-30 13:29:54.866289+00,2018-03-30 13:29:54.866342+00
12064,NOTARY PUBLIC NC YEARS,2018-03-30 13:29:55.011852+00,2018-03-30 13:29:55.011913+00
12065,SHAREPOINT YEARS,2018-03-30 13:29:55.150239+00,2018-03-30 13:29:55.150297+00
12066,ZOOM,2018-03-30 13:29:55.291873+00,2018-03-30 13:29:55.29192+00
12067,MEETING SOFTWARE YEARS,2018-03-30 13:29:55.445973+00,2018-03-30 13:29:55.446028+00
12068,BROADLEAF SOLUTIONS,2018-03-30 13:29:55.588503+00,2018-03-30 13:29:55.58855+00
12069,STUDENT ENROLLMENT SYSTEM YEARS,2018-03-30 13:29:55.721807+00,2018-03-30 13:29:55.721858+00
12070,WELLCONNECT SRS,2018-03-30 13:29:55.862732+00,2018-03-30 13:29:55.862784+00
12071,STUDENT RESOURCE SYSTEM YEARS,2018-03-30 13:29:56.020771+00,2018-03-30 13:29:56.020827+00
12072,STARFISH,2018-03-30 13:29:56.165541+00,2018-03-30 13:29:56.165588+00
12073,STUDENT SUPPORT,2018-03-30 13:29:56.30582+00,2018-03-30 13:29:56.305871+00
12074,RETENTION YEARS,2018-03-30 13:29:56.455609+00,2018-03-30 13:29:56.455657+00
12047,PHLEBOTOMY VITAL SIGNS VENIPUNCTURE PATIENT SCHEDULING MEDICAL RECORDS MANAGEMENT,2018-03-30 13:23:04.176439+00,2018-03-30 13:23:04.176481+00
12048,DATA ENTRY 65WPM HIPPA,2018-03-30 13:23:04.357084+00,2018-03-30 13:23:04.357144+00
12049,JCAHO KNOWLEDGE PATIENT EDUCATION FILE MANAGEMENT,2018-03-30 13:23:04.528564+00,2018-03-30 13:23:04.528621+00
12050,EMR SYSTEMS BASIC WOUND CARE EKG ASEPTIC,2018-03-30 13:23:04.692101+00,2018-03-30 13:23:04.692159+00
12051,STERILE TECHNIQUE TRIAGE CPT,2018-03-30 13:23:04.899986+00,2018-03-30 13:23:04.900046+00
12052,ICD CODING INJECTIONS URINALYSIS,2018-03-30 13:23:05.052564+00,2018-03-30 13:23:05.052624+00
12053,THROAT CULTURE PAP SMEAR TRAY SETUP CAPILLARY STICKS,2018-03-30 13:23:05.249707+00,2018-03-30 13:23:05.249771+00
12077,INCREASED GRADUATE STARTING SALARIES OVER PREVIOUS YEAR IN 2015,2018-03-30 13:29:56.887948+00,2018-03-30 13:29:56.887996+00
12078,INCREASED GRADUATE STARTING SALARIES OVER PREVIOUS YEAR IN 2016,2018-03-30 13:29:57.027623+00,2018-03-30 13:29:57.027683+00
12079,INCREASED GRADUATE STARTING SALARIES OVER PREVIOUS YEAR IN 2017,2018-03-30 13:29:57.173312+00,2018-03-30 13:29:57.173363+00
12080,ACHIEVED HIGHEST GROUND CAMPUS REVENUE GROWTH IN 2015  ASSISTED IN DEVELOPMENT,2018-03-30 13:29:57.31839+00,2018-03-30 13:29:57.31844+00
12081,EQUIPMENT PROCUREMENT,2018-03-30 13:29:57.466018+00,2018-03-30 13:29:57.46606+00
12082,MANAGED PHYSICAL BUILDOUT,2018-03-30 13:29:57.606076+00,2018-03-30 13:29:57.606122+00
12083,LAUNCH OF DIAGNOSTIC MEDICAL SONOGRAPHY PROGRAM,2018-03-30 13:29:57.739609+00,2018-03-30 13:29:57.739658+00
12084,EXCEEDED BUDGET GOALS FOR 2,2018-03-30 13:29:57.881216+00,2018-03-30 13:29:57.881272+00
12085,YEAROVERYEAR REVENUE INCREASE 103,2018-03-30 13:29:58.026381+00,2018-03-30 13:29:58.026431+00
12086,122 RESPECTIVELY,2018-03-30 13:29:58.168637+00,2018-03-30 13:29:58.168683+00
12087,ACHIEVED TWO,2018-03-30 13:29:58.328799+00,2018-03-30 13:29:58.328845+00
12088,COMPUTER WORD,2018-03-30 13:32:20.665017+00,2018-03-30 13:32:20.665076+00
12089,CHARGE NURSE YEARS,2018-03-30 13:32:20.841435+00,2018-03-30 13:32:20.841474+00
12090,PROCESSING IMATES INTO FACILITY,2018-03-30 13:34:27.610978+00,2018-03-30 13:34:27.611033+00
12091,VS PHYSICALS MEDICATION REVIEW SICK CALLS BLOOD DRAWS,2018-03-30 13:34:27.775999+00,2018-03-30 13:34:27.776057+00
12092,APPOINTMENTS WITH MD YEARS,2018-03-30 13:34:27.948251+00,2018-03-30 13:34:27.94831+00
12093,NCI,2018-03-30 13:35:19.698348+00,2018-03-30 13:35:19.698406+00
12094,OVERCOME ANY CHALLENGES,2018-03-30 13:35:19.866749+00,2018-03-30 13:35:19.86679+00
12095,CAN MANAGE UP TO 7 INDIVIDUALS,2018-03-30 13:35:20.040321+00,2018-03-30 13:35:20.040363+00
12096,EFFICIENT,2018-03-30 13:35:20.178564+00,2018-03-30 13:35:20.178616+00
12097,INTEGRITY YEARS,2018-03-30 13:35:20.314954+00,2018-03-30 13:35:20.315006+00
12098,CPR YEARS,2018-03-30 13:36:07.28256+00,2018-03-30 13:36:07.28263+00
12099,RELIABLE CONVERSANT IN SPANISH,2018-03-30 13:36:07.43747+00,2018-03-30 13:36:07.437529+00
12100,DEPENDABLE ETHICAL,2018-03-30 13:36:07.638901+00,2018-03-30 13:36:07.63896+00
12101,ENERGETIC CAREGIVER 20  YEARS IN BABYSITTING,2018-03-30 13:36:07.78694+00,2018-03-30 13:36:07.786999+00
12102,GERONTOLOGICAL PRACTICE DIABETES,2018-03-30 13:36:07.95855+00,2018-03-30 13:36:07.95861+00
12103,NUTRITION TREATMENTS,2018-03-30 13:36:08.142615+00,2018-03-30 13:36:08.142672+00
12104,MENTAL HEALTH KNOWLEDGE OF BEHAVIORAL DISORDERS,2018-03-30 13:36:08.321322+00,2018-03-30 13:36:08.321362+00
12105,CATHETERS YEARS,2018-03-30 13:36:24.138494+00,2018-03-30 13:36:24.138537+00
12106,INSERTION OF IV CATHETERS,2018-03-30 13:36:24.329999+00,2018-03-30 13:36:24.330039+00
12107,EKG INTERPRETATION,2018-03-30 13:36:24.508134+00,2018-03-30 13:36:24.50819+00
12108,ABGS,2018-03-30 13:36:24.678772+00,2018-03-30 13:36:24.678823+00
12109,SUBQ,2018-03-30 13:36:24.853998+00,2018-03-30 13:36:24.854039+00
12110,INTRADERMAL,2018-03-30 13:36:25.002184+00,2018-03-30 13:36:25.002241+00
12111,INTRADERMAL INJECTIONS,2018-03-30 13:36:25.158863+00,2018-03-30 13:36:25.158904+00
12112,GASTRIC TUBES,2018-03-30 13:36:25.304163+00,2018-03-30 13:36:25.30421+00
12113,FEEDINGS,2018-03-30 13:36:25.470442+00,2018-03-30 13:36:25.470484+00
12114,ACCURATELY DOCUMENTING PATIENT CONDITION,2018-03-30 13:39:42.546461+00,2018-03-30 13:39:42.546521+00
12115,TREATMENT PLANS,2018-03-30 13:39:42.702347+00,2018-03-30 13:39:42.702405+00
12116,ADHERING TO ETHICAL PRINCIPLES,2018-03-30 13:39:42.890278+00,2018-03-30 13:39:42.890331+00
12117,ANALYTICAL,2018-03-30 13:39:43.080351+00,2018-03-30 13:39:43.08041+00
12118,APPLYING CURRENT RESEARCH TO MEDICAL PRACTICE,2018-03-30 13:39:43.259805+00,2018-03-30 13:39:43.259864+00
12119,ASSERTIVENESS,2018-03-30 13:39:43.43673+00,2018-03-30 13:39:43.436825+00
12120,BILLING FOR SERVICES,2018-03-30 13:39:43.626156+00,2018-03-30 13:39:43.626196+00
12121,COLLABORATING,2018-03-30 13:39:43.803036+00,2018-03-30 13:39:43.803094+00
12122,CONSULTING WITH OTHER HEALTH TEAM MEMBERS,2018-03-30 13:39:43.988511+00,2018-03-30 13:39:43.988571+00
12123,COPING WITH PRESSURE,2018-03-30 13:39:44.162503+00,2018-03-30 13:39:44.162562+00
12124,CUSTOMER,2018-03-30 13:39:44.468908+00,2018-03-30 13:39:44.468948+00
12125,SERVICE,2018-03-30 13:39:44.621979+00,2018-03-30 13:39:44.622038+00
12126,DELEGATING,2018-03-30 13:39:44.82014+00,2018-03-30 13:39:44.82018+00
12127,DEVELOPING RAPPORT WITH PATIENTS,2018-03-30 13:39:44.983338+00,2018-03-30 13:39:44.983397+00
12128,DEVISING PROTOCOLS FOR NURSING PRACTICES,2018-03-30 13:39:45.171871+00,2018-03-30 13:39:45.171932+00
12129,DIAGNOSTIC,2018-03-30 13:39:45.336063+00,2018-03-30 13:39:45.336121+00
12130,DIFFUSING STRESSFUL SITUATIONS,2018-03-30 13:39:45.51024+00,2018-03-30 13:39:45.5103+00
12131,EVALUATING MEDICAL SERVICES,2018-03-30 13:39:45.704228+00,2018-03-30 13:39:45.704302+00
12132,EVALUATING STAFF PERFORMANCE,2018-03-30 13:39:45.928596+00,2018-03-30 13:39:45.928656+00
12133,FORMULATING CARE,2018-03-30 13:39:46.118926+00,2018-03-30 13:39:46.119068+00
12134,INSTRUCTING,2018-03-30 13:39:46.295966+00,2018-03-30 13:39:46.296009+00
12135,INTERPRETING MEDICAL TESTS,2018-03-30 13:39:46.516251+00,2018-03-30 13:39:46.516318+00
12136,LISTENING,2018-03-30 13:39:46.698385+00,2018-03-30 13:39:46.698427+00
12137,MAINTAINING CONFIDENTIALITY,2018-03-30 13:39:46.877395+00,2018-03-30 13:39:46.877454+00
12138,PROTECTING SENSITIVE DATA,2018-03-30 13:39:47.040483+00,2018-03-30 13:39:47.040542+00
12139,MAKING REFERRALS TO SPECIALISTS,2018-03-30 13:39:47.21318+00,2018-03-30 13:39:47.213241+00
12140,MANAGING MEDICATIONS,2018-03-30 13:39:47.391101+00,2018-03-30 13:39:47.391161+00
12141,MANUAL,2018-03-30 13:39:47.569238+00,2018-03-30 13:39:47.569296+00
12142,DEXTERITY,2018-03-30 13:39:47.741917+00,2018-03-30 13:39:47.741976+00
12143,MATHEMATICAL,2018-03-30 13:39:47.933152+00,2018-03-30 13:39:47.933212+00
12144,ONGOING LEARNING,2018-03-30 13:39:48.139016+00,2018-03-30 13:39:48.139057+00
12145,ORDERING PHYSICAL THERAPY,2018-03-30 13:39:48.290883+00,2018-03-30 13:39:48.290941+00
12146,OTHER TREATMENTS,2018-03-30 13:39:48.460821+00,2018-03-30 13:39:48.460879+00
12147,PERFORMING MINOR SURGERIES,2018-03-30 13:39:48.6486+00,2018-03-30 13:39:48.64864+00
12148,PERSUASIVE,2018-03-30 13:39:48.799442+00,2018-03-30 13:39:48.7995+00
12149,PREPARING HEALTH EDUCATION MATERIALS,2018-03-30 13:39:48.976032+00,2018-03-30 13:39:48.976091+00
12150,PRESCRIBING MEDICATION,2018-03-30 13:39:49.166121+00,2018-03-30 13:39:49.166179+00
12151,PRIORITIZING,2018-03-30 13:39:49.331873+00,2018-03-30 13:39:49.331932+00
12152,PROMOTING HEALTHY LIFESTYLES,2018-03-30 13:39:49.510605+00,2018-03-30 13:39:49.51065+00
12153,RESEARCHING,2018-03-30 13:39:49.686303+00,2018-03-30 13:39:49.686361+00
12154,SUPERVISING,2018-03-30 13:39:49.863907+00,2018-03-30 13:39:49.863965+00
12155,TAKING,2018-03-30 13:39:50.027866+00,2018-03-30 13:39:50.027924+00
12156,INITIATIVE,2018-03-30 13:39:50.195346+00,2018-03-30 13:39:50.195404+00
12157,TRAINING STAFF,2018-03-30 13:39:50.378192+00,2018-03-30 13:39:50.378232+00
12158,VERBAL,2018-03-30 13:39:50.551416+00,2018-03-30 13:39:50.551475+00
12159,WRITING YEARS,2018-03-30 13:39:50.71949+00,2018-03-30 13:39:50.71955+00
12160,NURSING EXPERIENCE,2018-03-30 13:44:05.883263+00,2018-03-30 13:44:05.883303+00
12161,LONG TERM CARE EXPERIENCE,2018-03-30 13:44:06.036818+00,2018-03-30 13:44:06.036866+00
12162,MANAGEMENT EXPERIENCE,2018-03-30 13:44:06.182375+00,2018-03-30 13:44:06.182422+00
12163,HIRING,2018-03-30 13:44:06.322501+00,2018-03-30 13:44:06.322543+00
12164,HOSPITAL EXPERIENCE,2018-03-30 13:44:06.464488+00,2018-03-30 13:44:06.464528+00
12165,REHAB,2018-03-30 13:44:06.599718+00,2018-03-30 13:44:06.599767+00
12166,SKILLED NURSING EXPERIENCE,2018-03-30 13:44:06.749913+00,2018-03-30 13:44:06.749962+00
12167,LOOKING FOR A COMPANY TO WORK FOR LONG TERM,2018-03-30 13:44:06.890627+00,2018-03-30 13:44:06.890674+00
12168,THANKS FOR REVIEWING MY APPLICATION,2018-03-30 13:44:07.034251+00,2018-03-30 13:44:07.0343+00
12169,REPORTING,2018-03-30 13:44:41.979434+00,2018-03-30 13:44:41.979475+00
12170,CATHETER INSERTIONCARE,2018-03-30 13:44:42.121143+00,2018-03-30 13:44:42.121203+00
12171,PATIENT ASSESSMENTEDUCATION,2018-03-30 13:44:42.267022+00,2018-03-30 13:44:42.267061+00
12172,ASSISTING WITH PERSONAL CARE,2018-03-30 13:44:42.538385+00,2018-03-30 13:44:42.538425+00
12173,ADMINISTERING FEEDING,2018-03-30 13:44:42.67082+00,2018-03-30 13:44:42.67087+00
12174,MEDITECH EMR SOFTWARE,2018-03-30 13:44:42.82019+00,2018-03-30 13:44:42.820244+00
12175,EPIC SOFTWARE,2018-03-30 13:44:42.973572+00,2018-03-30 13:44:42.973628+00
12176,I CAN WORK INDEPENDENTLY OR AS PART OF A TEAM EFFORT TO ACCOMPLISH RESULTS AS NEEDED,2018-03-30 13:44:43.130345+00,2018-03-30 13:44:43.130384+00
12177,ATTENTION TO DETAIL VERY ORGANIZED,2018-03-30 13:54:10.77169+00,2018-03-30 13:54:10.771731+00
12178,ACUTE CARE EXPERTISE  HOSPICE,2018-03-30 13:54:30.690467+00,2018-03-30 13:54:30.690507+00
12179,PALLIATIVE CARE EXPERIENCE  QUALIFIED CRITICAL CARE NURSE  ICD910 CODING,2018-03-30 13:54:30.851057+00,2018-03-30 13:54:30.851115+00
12180,INPATIENT COMPUTER SKILLS MICROSOFT OFFICE 2010,2018-03-30 13:54:31.003868+00,2018-03-30 13:54:31.003926+00
12181,2013 PROFICIENT WORD,2018-03-30 13:54:31.184565+00,2018-03-30 13:54:31.184624+00
12182,SPREADSHEETS,2018-03-30 13:54:31.369946+00,2018-03-30 13:54:31.369984+00
12183,YARDI,2018-03-30 13:54:31.557836+00,2018-03-30 13:54:31.557876+00
12184,POINT CLICK CARE,2018-03-30 13:54:31.724051+00,2018-03-30 13:54:31.724109+00
12185,EHR HISTORYVOLUNTEER FULL TIME PARENT,2018-03-30 13:54:31.891021+00,2018-03-30 13:54:31.891078+00
12186,CLASSROOM VOLUNTEER YEARS,2018-03-30 13:54:32.060669+00,2018-03-30 13:54:32.060727+00
12193,BILINGUAL IN SPANISH,2018-03-30 13:57:39.803709+00,2018-03-30 13:57:39.803766+00
12199,ADMISSIONS,2018-03-30 14:04:02.62169+00,2018-03-30 14:04:02.621733+00
12200,COMPUTER SKILLS YEARS,2018-03-30 14:04:02.792472+00,2018-03-30 14:04:02.792515+00
12214,STRONG CLINICAL JUDGMENT PALLIATIVE CARE,2018-03-30 14:07:13.773751+00,2018-03-30 14:07:13.773791+00
12215,SUCCESSFULLY DIRECTS STAFF MEETINGS HOSPICE,2018-03-30 14:07:13.967151+00,2018-03-30 14:07:13.967211+00
12216,PALLIATIVE CARE EXPERIENCE,2018-03-30 14:07:14.139161+00,2018-03-30 14:07:14.13922+00
12217,PATIENTFAMILY FOCUSED INDEPTH KNOWLEDGE OF INTRAVENOUS THERAPY,2018-03-30 14:07:14.332001+00,2018-03-30 14:07:14.332061+00
12218,PATIENT EVALUATIONINTERVENTION PROFESSIONAL BEDSIDE MANNER,2018-03-30 14:07:14.514606+00,2018-03-30 14:07:14.514665+00
12219,HOSPICE PHILOSOPHY UNDERSTANDING SAFE NG TUBE INSERTION,2018-03-30 14:07:14.700152+00,2018-03-30 14:07:14.700212+00
12220,REMOVAL,2018-03-30 14:07:14.878695+00,2018-03-30 14:07:14.878755+00
12221,DEDICATED HOSPICE CARE PROVIDER THOROUGH PHYSICAL ASSESSMENTS,2018-03-30 14:07:15.080169+00,2018-03-30 14:07:15.08023+00
12222,TRACHEOTOMY CARE FOLEY CATHETER INSERTIONREMOVAL FAMILIARITY,2018-03-30 14:07:15.235253+00,2018-03-30 14:07:15.235312+00
12223,PROPER CATHETER INSERTIONREMOVAL ICD10 FORMS,2018-03-30 14:07:15.425479+00,2018-03-30 14:07:15.425541+00
12224,FAMILY ADVOCACY VENIPUNCTUREBLOOD DRAW EXPERT,2018-03-30 14:07:15.637464+00,2018-03-30 14:07:15.637506+00
12225,CHEST PAIN MANAGEMENT EXPERT,2018-03-30 14:07:15.815474+00,2018-03-30 14:07:15.815534+00
12226,EXPERIENCED IN SKILL NURSING SETTINGS AS CHARGE NURSE,2018-03-30 14:07:15.992492+00,2018-03-30 14:07:15.992553+00
12227,HCHB,2018-03-30 14:07:16.365379+00,2018-03-30 14:07:16.365421+00
12238,HINDI PROFICIENCY YEARS,2018-03-30 14:14:23.285764+00,2018-03-30 14:14:23.285804+00
12239,HINDI,2018-03-30 14:14:23.459503+00,2018-03-30 14:14:23.459544+00
12240,PC PROFICIENT,2018-03-30 14:14:23.648812+00,2018-03-30 14:14:23.648905+00
12248,WORKING WITH THE PUBLIC,2018-03-30 14:23:50.283352+00,2018-03-30 14:23:50.283408+00
12249,EXCELLED IN COMPUTER SKILLS,2018-03-30 14:23:50.471029+00,2018-03-30 14:23:50.471094+00
12250,WORKED PATIENCE,2018-03-30 14:27:39.413294+00,2018-03-30 14:27:39.413341+00
12251,RESIDENCE,2018-03-30 14:27:39.574703+00,2018-03-30 14:27:39.574762+00
12252,CLIENTS WITH DEMENTIA ALZHEIMERS,2018-03-30 14:27:39.762074+00,2018-03-30 14:27:39.762141+00
12253,CNA CERTIFICATION IS NOT EXPIRED IT IS CURRENTLY ACTIVE,2018-03-30 14:27:39.953883+00,2018-03-30 14:27:39.953923+00
12254,VERY RESPONSIBLE,2018-03-30 14:27:40.12392+00,2018-03-30 14:27:40.123979+00
12255,RELIABLE,2018-03-30 14:27:40.315269+00,2018-03-30 14:27:40.315308+00
12256,MY WORK HISTORY SPEAKS FOR ITSELF,2018-03-30 14:27:40.488397+00,2018-03-30 14:27:40.488458+00
12257,WHEN IAPOSM WITH A COMPANY OR FACILITY MY TIME IS VESTED,2018-03-30 14:27:40.663508+00,2018-03-30 14:27:40.663567+00
12258,INSURANCE YEAR,2018-03-30 14:30:48.861209+00,2018-03-30 14:30:48.861261+00
12259,MEDICAL RECORDS YEARS,2018-03-30 14:30:49.040795+00,2018-03-30 14:30:49.040854+00
12260,PEOPLE MANAGEMENT YEARS,2018-03-30 14:30:49.207588+00,2018-03-30 14:30:49.207648+00
12261,I HAVE RECENTLY RELOCATED TO NORTH CAROLINA,2018-03-30 14:30:49.401159+00,2018-03-30 14:30:49.401199+00
12262,I AM LOOKING TO START A NEW CAREER,2018-03-30 14:30:49.552176+00,2018-03-30 14:30:49.552234+00
12263,I MANY YEARS OF EXPERIENCE IN A HIGH STRESS MEDICAL FEILD,2018-03-30 14:30:49.724826+00,2018-03-30 14:30:49.724884+00
12264,AS WELL AS PRIVATE CARE,2018-03-30 14:30:49.908395+00,2018-03-30 14:30:49.908453+00
12265,I LOOK FORWARD TO MEETING WITH YOU,2018-03-30 14:30:50.06279+00,2018-03-30 14:30:50.06285+00
12267,ADHERING TO DEPARTMENTAL GUIDELINES,2018-03-30 14:36:41.920329+00,2018-03-30 14:36:41.920377+00
12268,ASSESSING PAIN LEVEL OF PATIENTS,2018-03-30 14:36:42.118208+00,2018-03-30 14:36:42.118267+00
12269,ASSISTING TO ADMIT PATIENTS,2018-03-30 14:36:42.275489+00,2018-03-30 14:36:42.275548+00
12270,WORK UNDER SUPERVISION OF RN,2018-03-30 14:37:25.932564+00,2018-03-30 14:37:25.932605+00
12271,ACTIVITIES OF DAILY LIVING,2018-03-30 14:37:26.116638+00,2018-03-30 14:37:26.116683+00
12272,IN HEALTHCARE,2018-03-30 14:37:26.296554+00,2018-03-30 14:37:26.296595+00
12273,I AM LOOKING A FRESH START WITH MY NEWLY OBTAINED LICENSE,2018-03-30 14:37:26.451721+00,2018-03-30 14:37:26.451779+00
12274,I HAVE RECEIVED EXTENSIVE TRAINING WITH MEDICATION ADMINISTRATION,2018-03-30 14:37:26.649817+00,2018-03-30 14:37:26.649876+00
12275,ASSERTIVE COMMUNICATION SKILLS,2018-03-30 14:37:26.799758+00,2018-03-30 14:37:26.799818+00
12276,HOW TO ADMINISTER VACCINATIONS,2018-03-30 14:37:26.974962+00,2018-03-30 14:37:26.97502+00
12277,IOAPOSS,2018-03-30 14:37:27.166076+00,2018-03-30 14:37:27.166117+00
12278,STERILE PROCEDURES,2018-03-30 14:37:27.345537+00,2018-03-30 14:37:27.345596+00
12279,UNIVERSAL PRECAUTIONS,2018-03-30 14:37:27.49878+00,2018-03-30 14:37:27.498839+00
12280,ETC I ALSO HAVE BLSCPR CERTIFICATION,2018-03-30 14:37:27.70606+00,2018-03-30 14:37:27.706118+00
12281,NGT INSERTIONREMOVAL,2018-03-30 14:39:16.866217+00,2018-03-30 14:39:16.866274+00
12282,ENTERAL FEEDINGS,2018-03-30 14:39:17.041621+00,2018-03-30 14:39:17.041681+00
12283,RALEIGH REHABILITATION,2018-03-30 14:39:17.220231+00,2018-03-30 14:39:17.220293+00
12284,WOUND TREATMENT,2018-03-30 14:39:17.407069+00,2018-03-30 14:39:17.407113+00
12285,LPN (LICENSED PRACTICAL NURSE,2018-03-30 14:39:17.567462+00,2018-03-30 14:39:17.567502+00
12286,CHASE CITY HEALTH,2018-03-30 14:39:17.742012+00,2018-03-30 14:39:17.74207+00
12287,REHAB CENTER,2018-03-30 14:39:17.916145+00,2018-03-30 14:39:17.916202+00
12288,IV CARE,2018-03-30 14:39:18.111756+00,2018-03-30 14:39:18.111795+00
12289,OBTAINING BLOOD SPECIMENSBLOOD DRAWS,2018-03-30 14:39:18.27951+00,2018-03-30 14:39:18.27957+00
12290,CATHETER INSERTIONREMOVAL,2018-03-30 14:39:18.43053+00,2018-03-30 14:39:18.430591+00
12291,URINE SPECIMENS,2018-03-30 14:39:18.61102+00,2018-03-30 14:39:18.61108+00
12292,ELECTRONIC DOCUMENTATION,2018-03-30 14:39:18.815033+00,2018-03-30 14:39:18.815094+00
12293,RECORDING,2018-03-30 14:39:19.023005+00,2018-03-30 14:39:19.023066+00
12302,MECHANICAL VENTILATION YEARS,2018-03-30 14:41:59.458118+00,2018-03-30 14:41:59.458177+00
12303,JT CARE YEARS,2018-03-30 14:41:59.680293+00,2018-03-30 14:41:59.680342+00
12304,TBI YEARS,2018-03-30 14:41:59.880688+00,2018-03-30 14:41:59.880749+00
12305,STAFFING YEARS,2018-03-30 14:42:00.118647+00,2018-03-30 14:42:00.118704+00
12306,I AM RESILIENT,2018-03-30 14:42:00.280543+00,2018-03-30 14:42:00.280602+00
12307,PERSERVERANT,2018-03-30 14:42:00.500484+00,2018-03-30 14:42:00.500531+00
12308,I AM CAPABLE OF BOTH WORKING INDEPENDENTLY,2018-03-30 14:42:00.697772+00,2018-03-30 14:42:00.697848+00
12309,AS A TEAM PLAYER,2018-03-30 14:42:00.922369+00,2018-03-30 14:42:00.92243+00
12344,CHARGE NURSE,2018-03-30 14:54:32.358338+00,2018-03-30 14:54:32.358387+00
12345,MED ADM,2018-03-30 14:54:32.543732+00,2018-03-30 14:54:32.54379+00
12346,WOUND TX,2018-03-30 14:54:32.729777+00,2018-03-30 14:54:32.729834+00
12347,LINKS HTTPRCREID396GMAILCOM HTTPRREID296YAHOOCOM,2018-03-30 14:54:32.910835+00,2018-03-30 14:54:32.910874+00
12348,EMR ALLSCRIPTS,2018-03-30 14:57:07.40713+00,2018-03-30 14:57:07.407189+00
12349,KNOWLEDGEABLE OF NURSING SKILLS,2018-03-30 15:02:38.46729+00,2018-03-30 15:02:38.467351+00
12350,PRACTICE YEARS,2018-03-30 15:02:38.629458+00,2018-03-30 15:02:38.629522+00
12354,SOME EXPERIENCE WITH WOUND VACS YEARS,2018-03-30 15:08:41.15835+00,2018-03-30 15:08:41.158395+00
12355,I HAVE RECENTLY MOVED TO,2018-03-30 15:08:41.31244+00,2018-03-30 15:08:41.312499+00
12367,MED PASS YEARS,2018-03-30 15:22:14.293144+00,2018-03-30 15:22:14.293193+00
12368,CHARTING DOCUMENTATION YEARS,2018-03-30 15:22:14.482979+00,2018-03-30 15:22:14.483038+00
12387,CLIENTS YEARS,2018-03-30 15:28:07.600721+00,2018-03-30 15:28:07.600781+00
12388,CATHETER YEARS,2018-03-30 15:28:07.780384+00,2018-03-30 15:28:07.780424+00
12389,DATA,2018-03-30 15:28:07.96365+00,2018-03-30 15:28:07.963695+00
12390,ENTRY YEARS,2018-03-30 15:28:08.116762+00,2018-03-30 15:28:08.116821+00
12391,EXPERIENCED IN DATA ENTRY,2018-03-30 15:28:08.293183+00,2018-03-30 15:28:08.293241+00
12392,CLIENT CARE,2018-03-30 15:28:08.467365+00,2018-03-30 15:28:08.467423+00
12393,CLIENT TRANSPORTATION,2018-03-30 15:28:08.626692+00,2018-03-30 15:28:08.626751+00
12187,HIPPA YEARS,2018-03-30 13:57:20.798362+00,2018-03-30 13:57:20.798403+00
12188,INFECTION CONTROL YEARS,2018-03-30 13:57:20.947174+00,2018-03-30 13:57:20.947226+00
12189,MS WORD YEARS,2018-03-30 13:57:21.089812+00,2018-03-30 13:57:21.089863+00
12190,HIPPA COMPLIANCE,2018-03-30 13:57:21.412449+00,2018-03-30 13:57:21.41249+00
12191,AWARENESS OF INFECTION CONTROL,2018-03-30 13:57:21.576379+00,2018-03-30 13:57:21.576419+00
12192,GLUCOMETRY,2018-03-30 13:57:21.720175+00,2018-03-30 13:57:21.720229+00
12194,I VISITED YOUR FACILITY,2018-03-30 13:59:17.234806+00,2018-03-30 13:59:17.234875+00
12195,IT WAS A PLEASURE TO SEE A PLACE I KNOW I CAN UTILIZE MY SKILLS,2018-03-30 13:59:17.555622+00,2018-03-30 13:59:17.555728+00
12196,CONTINUE MY EDUCATION GOALS,2018-03-30 13:59:17.784625+00,2018-03-30 13:59:17.784688+00
12197,PSYCHOLOGY FIRST AID YEARS,2018-03-30 14:01:10.039764+00,2018-03-30 14:01:10.039827+00
12198,BLSC YEARS,2018-03-30 14:01:10.187797+00,2018-03-30 14:01:10.187863+00
12201,MEDICAL RECORDS COORDINATOR YEARS,2018-03-30 14:05:39.370884+00,2018-03-30 14:05:39.370932+00
12202,GERIATRICS NURSING YEARS,2018-03-30 14:05:39.513843+00,2018-03-30 14:05:39.513902+00
12203,REHAB NURSING,2018-03-30 14:05:39.657256+00,2018-03-30 14:05:39.657306+00
